2026-07-04 01:06:54.293 INFO  [492628] [VPApp::InitInstance@984] Starting VPX - v10.8.1 Beta (Rev. 3788 (2151290), linux BGFX 64bits)
2026-07-04 01:06:54.294 INFO  [492628] [VPApp::InitInstance@985] Settings file was loaded from /opt/pincabos/logs/afm-vpx3788-ab/VPinballX-3788-20260704-010637.ini
2026-07-04 01:06:54.308 INFO  [492628] [VPApp::InitInstance@993] SDL video driver: x11
2026-07-04 01:06:54.308 INFO  [492628] [VPApp::InitInstance@996] m_logicalNumberOfProcessors=40
2026-07-04 01:06:54.308 INFO  [492628] [VPApp::InitInstance@997] m_myPath=/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/
2026-07-04 01:06:54.308 INFO  [492628] [VPApp::InitInstance@998] m_myPrefPath=/home/pinball/.vpinball/
2026-07-04 01:06:54.308 INFO  [492628] [VPApp::InitInstance@1006] User path created: /home/pinball/.vpinball/user/
2026-07-04 01:06:54.309 INFO  [492628] [WinMain@202] Plugin DMDUtil was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/dmdutil/plugin-dmdutil.so)
2026-07-04 01:06:54.309 INFO  [492628] [WinMain@202] Plugin Serum was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/serum/plugin-serum.so)
2026-07-04 01:06:54.309 INFO  [492628] [WinMain@202] Plugin DOF was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/dof/plugin-dof.so)
2026-07-04 01:06:54.314 INFO  [492628] [MsgPlugin::Load@486] Plugin PinMAME loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/pinmame/plugin-pinmame.so)
2026-07-04 01:06:54.314 INFO  [492628] [MsgPlugin::Load@486] Plugin HelloWorld loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/helloworld/plugin-helloworld.so)
2026-07-04 01:06:54.315 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] B2SLegacy Plugin registered with PinMAME Controller proxying
2026-07-04 01:06:54.315 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] B2SLegacy Plugin loaded successfully
2026-07-04 01:06:54.315 INFO  [492628] [MsgPlugin::Load@486] Plugin B2SLegacy loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/b2slegacy/plugin-b2slegacy.so)
2026-07-04 01:06:54.316 INFO  [492628] [MsgPlugin::Load@486] Plugin ScoreView loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/scoreview/plugin-scoreview.so)
2026-07-04 01:06:54.316 INFO  [492628] [WinMain@202] Plugin RemoteControl was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/remote-control/plugin-remote-control.so)
2026-07-04 01:06:54.316 INFO  [492628] [WinMain@202] Plugin PUP was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/pup/plugin-pup.so)
2026-07-04 01:06:54.317 INFO  [492628] [MsgPlugin::Load@486] Plugin FlexDMD loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/flexdmd/plugin-flexdmd.so)
2026-07-04 01:06:54.317 INFO  [492628] [WinMain@202] Plugin AlphaDMD was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/alphadmd/plugin-alphadmd.so)
2026-07-04 01:06:54.317 INFO  [492628] [WinMain@202] Plugin B2S was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/b2s/plugin-b2s.so)
2026-07-04 01:06:54.318 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] WMP Plugin loaded successfully
2026-07-04 01:06:54.318 INFO  [492628] [MsgPlugin::Load@486] Plugin WMP loaded (library: /opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/wmp/plugin-wmp.so)
2026-07-04 01:06:54.319 INFO  [492628] [WinMain@202] Plugin HelloScript was found but is disabled (/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/plugins/helloscript/plugin-helloscript.so)
2026-07-04 01:06:54.319 INFO  [492628] [VPApp::Run@1074] Loading table from command line option: /home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).vpx
2026-07-04 01:06:54.321 INFO  [492628] [PinTable::LoadGameFromFilename@3174] LoadGameFromFilename /home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).vpx
2026-07-04 01:06:54.321 INFO  [492628] [Settings::LoadFromFile@563] Settings file was not found at '/home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).ini'
2026-07-04 01:06:54.338 INFO  [492628] [PinTable::LoadGameFromFilename@3295] LoadData loaded
2026-07-04 01:06:54.851 INFO  [492628] [PinTable::LoadGameFromFilename@3327] GameItem loaded
2026-07-04 01:06:54.863 INFO  [492628] [PinTable::LoadGameFromFilename@3357] Sound loaded
2026-07-04 01:06:54.872 INFO  [492628] [PinTable::LoadGameFromFilename@3395] Image loaded
2026-07-04 01:06:54.872 INFO  [492628] [PinTable::LoadGameFromFilename@3414] Font loaded
2026-07-04 01:06:54.881 INFO  [492628] [PinTable::LoadGameFromFilename@3435] Collection loaded
2026-07-04 01:06:54.882 INFO  [492628] [PinTable::LoadGameFromFilename@3443] IEditable PostLoad performed
2026-07-04 01:06:54.883 INFO  [492628] [PinTable::InitTablePostLoad@1572] InitTablePostLoad
2026-07-04 01:06:54.884 INFO  [492628] [CodeViewer::LoadFromFile@1934] filename=/home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).vbs
2026-07-04 01:06:54.884 INFO  [492628] [VPinball::LoadFileName@1328] UI Post Load Start
2026-07-04 01:06:54.884 INFO  [492628] [VPinball::LoadFileName@1351] UI Post Load End
2026-07-04 01:06:54.884 INFO  [492628] [VPinball::DoPlay@1013] Starting Play mode [table: Attack from Mars LE (Bally 1995), play mode: 0]
2026-07-04 01:06:54.885 INFO  [492628] [PinTable::CopyForPlay@2150] Duplicating parts for live instance
2026-07-04 01:06:54.889 INFO  [492628] [PinTable::CopyForPlay@2196] Duplicating collections
2026-07-04 01:06:54.890 INFO  [492628] [PinTable::CopyForPlay@2236] Implicit Textbox DMD added: name=ImplicitDMD
2026-07-04 01:06:54.890 INFO  [492628] [PinTable::CopyForPlay@2262] Implicit Flasher DMD added: name=ImplicitDMD2
2026-07-04 01:06:54.890 INFO  [492628] [PinTable::CopyForPlay@2286] Compiling script
2026-07-04 01:06:54.892 INFO  [492628] [VPX::Window::Window@284] SDL display mode for 1920x1200 window 'ScoreView' : 3840x2160 60 Hz SDL_PIXELFORMAT_XRGB8888
2026-07-04 01:06:54.922 INFO  [492628] [ma_device_init__sdl@154] Audio device initialized. Device: 'CMI8738/CMI8768 PCI Audio (CMI8738/C3DX PCI Audio Device) Analog Stereo', Freq : 48000, Format: SDL_AUDIO_S16LE, Channels: 2, Driver: pipewire
2026-07-04 01:06:54.945 INFO  [492628] [ma_device_init__sdl@154] Audio device initialized. Device: 'Built-in Audio Analog Stereo', Freq : 48000, Format: SDL_AUDIO_S16LE, Channels: 2, Driver: pipewire
2026-07-04 01:06:54.945 INFO  [492628] [ProgressDialog::SetProgress@86] Creating Player... 1%
2026-07-04 01:06:54.946 INFO  [492628] [Player::Player@289] Creating main window
2026-07-04 01:06:55.126 INFO  [492628] [VPX::Window::Window@284] SDL display mode for 3840x2160 window 'Playfield' : 3840x2160 60 Hz SDL_PIXELFORMAT_XRGB8888
2026-07-04 01:06:55.127 INFO  [492628] [Player::Player@343] Synchronization mode: 3 with maximum FPS: 60, display FPS: 60
2026-07-04 01:06:55.127 INFO  [492628] [Player::Player@434] Initializing player
2026-07-04 01:06:55.127 INFO  [492628] [ProgressDialog::SetProgress@86] Initializing Visuals... 10%
2026-07-04 01:06:55.128 INFO  [492628] [Player::Player@451] Initializing renderer (global states & resources)
2026-07-04 01:06:55.129 INFO  [492628] [RenderDevice::RenderDevice@730] Using graphics backend: Direct3D11 (available: Noop, Direct3D11, Direct3D12, OpenGL, Vulkan)
2026-07-04 01:06:55.471 INFO  [492628] [RenderDevice::RenderDevice@799] BGFX initialized using Vulkan backend
2026-07-04 01:06:55.515 INFO  [492628] [Renderer::Renderer@264] Computing environment map radiance
2026-07-04 01:06:55.971 INFO  [492628] [Renderer::Renderer@291] Environment map radiance computed
2026-07-04 01:06:56.146 INFO  [492628] [Player::Player@497] Initializing inputs & implicit objects
2026-07-04 01:06:56.149 INFO  [492628] [SDLInputHandler::SDLInputHandler@13] SDL input handler registered
2026-07-04 01:06:57.040 INFO  [492628] [SDLInputHandler::SDLInputHandler@25] Game controller mappings added: count=18, path=/home/pinball/.vpinball/gamecontrollerdb.txt
2026-07-04 01:06:57.040 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@148] Input device found: id=6 name=L'atelier d'Arnoz DudesCab
2026-07-04 01:06:57.092 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@166] Processing as Gamepad: 6 axes, 15 buttons, rumble=false
2026-07-04 01:06:57.092 INFO  [492628] [OpenPinDevHandler::OpenPinDevHandler@216] OpenPinDev input handler registered
2026-07-04 01:06:57.104 INFO  [492628] [Player::Player@608] Initializing physics
2026-07-04 01:06:57.104 INFO  [492628] [ProgressDialog::SetProgress@86] Initializing Physics... 30%
2026-07-04 01:06:57.124 INFO  [492628] [PhysicsEngine::PhysicsEngine@89] Initializing octree
2026-07-04 01:06:57.173 INFO  [492628] [ProgressDialog::SetProgress@86] Loading Textures... 50%
2026-07-04 01:06:57.177 INFO  [492851] [Player::Player@729] Image 'Metal_short' loaded to RAM
2026-07-04 01:06:57.177 INFO  [492848] [Player::Player@729] Image 'Metal_long' loaded to RAM
2026-07-04 01:06:57.177 INFO  [492847] [Player::Player@729] Image 'lramp2' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492840] [Player::Player@729] Image 'flare_red' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492839] [Player::Player@729] Image 'DropTargetSimple' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492846] [Player::Player@729] Image 'lramp' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492845] [Player::Player@729] Image 'level_green' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492856] [Player::Player@729] Image 'rampborder_grey_reflex2' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492855] [Player::Player@729] Image 'ramp' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492848] [Player::Player@729] Image 'strobe' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492838] [Player::Player@729] Image 'cupulaverde' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492837] [Player::Player@729] Image 'shadow' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492846] [Player::Player@729] Image 'saucer3' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492844] [Player::Player@729] Image 'Left_rail_brighter' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492859] [Player::Player@729] Image 'rubber-post-t1-black' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492852] [Player::Player@729] Image 'metal_side' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'saucer4' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'LUT0' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492860] [Player::Player@729] Image 'LUT Warm 4' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492862] [Player::Player@729] Image 'LUT Warm 8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492863] [Player::Player@729] Image 'LUT Warm 9' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492846] [Player::Player@729] Image 'LUT Warm 5' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492840] [Player::Player@729] Image 'saucer1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492852] [Player::Player@729] Image 'LUT Warm 10' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492846] [Player::Player@729] Image 'LUT3' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492859] [Player::Player@729] Image 'LUT Warm 7' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492836] [Player::Player@729] Image 'LUT Warm 1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492838] [Player::Player@729] Image 'LUT Warm 2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492852] [Player::Player@729] Image 'LUT6' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492858] [Player::Player@729] Image 'rramp' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492849] [Player::Player@729] Image 'Metal_long2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492838] [Player::Player@729] Image 'LUT8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492848] [Player::Player@729] Image 'saucer8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492839] [Player::Player@729] Image 'saucer2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'LUT1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492863] [Player::Player@729] Image 'LUT2' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492832] [Player::Player@729] Image 'bottom_ramp4b' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492844] [Player::Player@729] Image 'LUT Warm 6' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492856] [Player::Player@729] Image 'saucer5' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492861] [Player::Player@729] Image 'saucer7' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492840] [Player::Player@729] Image 'LUT5' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492851] [Player::Player@729] Image 'steel' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492842] [Player::Player@729] Image 'flipperx' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492852] [Player::Player@729] Image 'LUT9' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492858] [Player::Player@729] Image 'LUT10' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492837] [Player::Player@729] Image 'LUT Warm 3' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492846] [Player::Player@729] Image 'LUT7' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492855] [Player::Player@729] Image 'saucer6' loaded to RAM
