timestamp,gpu_util_percent,vrm_mib,power_w
2026/07/03 16:55:37.088, 8, 688, 63.45
2026/07/03 16:55:39.262, 4, 932, 74.90
2026/07/03 16:55:40.350, 0, 992, 69.72
2026/07/03 16:55:41.429, 0, 992, 61.28
2026/07/03 16:55:42.511, 0, 992, 58.13
2026/07/03 16:55:43.591, 0, 887, 58.24
2026/07/03 16:55:44.672, 0, 1058, 58.15
2026/07/03 16:55:45.755, 7, 1056, 62.15
2026/07/03 16:55:46.831, 7, 1023, 60.50
2026/07/03 16:55:47.909, 7, 978, 60.47
2026/07/03 16:55:48.987, 7, 978, 60.58
2026/07/03 16:55:50.064, 11, 647, 61.38
2026/07/03 16:55:51.144, 7, 647, 61.20
